store,address,phone,address2,_GC_TYPE,_X,_Y
학동역 DT점,서울시 강남구 학동로 211 1층,02-3444-9973,서울특별시 강남구 학동로 211 1층,정,127.032052458702,37.51467818712183
수서점,서울시 강남구 광평로 280 수서동 724호,02-3412-2326,서울특별시 강남구 광평로 280 수서동 724호,정,127.1031082104252,37.48731882493853
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시 서초구 강남대로 369 1층,정,127.02821666292591,37.49566140223212
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,정,127.03482431236546,37.50643991419043
메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,정,127.05879497089248,37.5125118333676
압구정에스점,서울시 강남구 압구정로 46길 3,02-541-5832,서울특별시 강남구 압구정로 46길 3,정,127.03690472391504,37.5282789390864
신사점,서울시 강남구 도산대로 126,02-548-2741,서울특별시 강남구 도산대로 126,정,127.0224109999771,37.51696869995594
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",정,127.04723282433596,37.52525527988616
강남에스점,서울시 서초구 서초 1306-3호,02-593-5095,서울특별시 서초구 서초 1306-3호,정,127.02602572861493,37.500300943029934
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,정,127.0287311871236,37.52403908202882
역삼점,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",정,127.03652129441626,37.50234991136999
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,정,127.03561212720217,37.48234245613936
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",정,127.05155437160387,37.48733899730933
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,정,127.02279933783153,37.506842238709616
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,정,127.05003205496142,37.519898403230826
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",정,127.03947558884185,37.52145762040619
대치한티점,서울시 강남구 선릉로 64길 23 1층,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층,정,127.05417165394243,37.498295927698805
교대점,서울시 서초구 서초중앙로 118  1층,02-585-3981,서울특별시 서초구 서초중앙로 118 1층,정,127.01422985550784,37.49239137125679
공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층,정,127.05834236349689,37.50874302348943
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",정,127.03696049733863,37.523741736589386
압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,정,127.03901294020491,37.52611492174356
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,정,127.0302626981028,37.49128804585086
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,정,127.06102310221968,37.51035653285146
삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,정,127.0591588162209,37.51182421143046
삼성봉은사거리점,"서울시 강남구 영동대로 607 12번지 1,2층",02-3443-5618,"서울특별시 강남구 영동대로 607 12번지 1,2층",정,127.05948948090938,37.51455205212794
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,정,127.03654849942123,37.51003620142468
반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,정,126.98723202943225,37.50174874109423
잠실신천점,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,정,127.0900216820966,37.50743758416456
