매장명,지역,주소,전화번호
동서울대점,경기,"경기 성남시 수정구 복정로 73 (복정동), 1층",031-722-0111
동서울터미널점,서울,"서울 광진구 강변역로4길 10 (구의동, 강변역지너스타워)",02-454-1003
북서울꿈의숲점,서울,"서울 성북구 돌곶이로 220 (장위동, 꿈의숲코오롱하늘채아파트), 상가104동 107호",02-912-8982
삼육서울병원점,서울특별시,"서울특별시 동대문구 망우로 78, 1층(휘경동)",02-2213-2322
서서울호수공원점,서울,서울 양천구 남부순환로 432 (신월동),02-2690-6011
서울갈현초점,서울,"서울 은평구 갈현로 260 (갈현동), 1층",02-353-3321
서울공덕초교점,서울특별시,"서울특별시 마포구 만리재옛길 6, 1층(신공덕동)",02-712-5541
서울교대사거리점,서울,"서울 서초구 서초중앙로 72 (서초동, 영빌딩)",02-588-7080
서울교통회관점,서울,"서울 송파구 올림픽로 319 (신천동, 사단법인 서울특별시 교통회관)",02-418-1002
서울대입구역점,서울특별시,"서울특별시 관악구 관악로 195, 제1층 제115호(봉천동 , 관악위버폴리스)",02-871-9001
서울대입구점,서울특별시,"서울특별시 관악구 남부순환로 1861 , (봉천동, 덕수빌딩)1층",02-878-4825
서울대잔디광장점,서울,"서울 관악구 관악로 1 (신림동, 서울대학교), 관악60-1동 잔디광장 B1F",02-877-0656
서울만리점,서울,"서울 중구 만리재로 175 (만리동2가), 1층 (서울역 센트럴자이상가)",02-3147-2444
서울명지초점,서울,서울 서대문구 가좌로 102 (홍은동),02-305-5557
서울상명대점,서울,서울 종로구 홍지문2길 11 (홍지동),02-395-1322
서울성산초점,서울,"서울 마포구 월드컵로 37 (합정동, 합정동웰빙센터)",02-325-3353
서울숲역점,서울특별시,"서울특별시 성동구 왕십리로 94-1, 1층 (성수동1가)",02-468-2588
서울시립대점,서울특별시,"서울특별시 동대문구 전농로 222 , 1층 (전농동)",02-3390-9880
서울시청점,서울특별시,"서울특별시 중구 다동길 34, 1 ,2호(다동)",02-3789-0656
서울신미림초점,서울,서울 구로구 신도림로 7 (신도림동),02-2675-1110
서울쌍문초점,서울,서울 도봉구 노해로41길 32 (쌍문동),02-900-6555
서울여대점,서울,"서울 노원구 화랑로51길 20 (공릉동, 공릉동 진성빌딩), 1층 103호",02-975-1009
서울역점,서울특별시,"서울특별시 용산구 한강대로 403, 1층(동자동)",02-711-0543
서울역한라비발디점,서울,"서울 중구 만리재로 177 (만리동2가, 서울역한라비발디센트럴)",02-313-5493
서울우이교사거리점,서울,서울 도봉구 우이천로 284 (쌍문동),02-991-1005
서울은빛초점,서울특별시,"서울특별시 은평구 진관3로 67 , (진관동, 은평뉴타운구파발)",02-356-8446
서울은천초점,서울,"서울 관악구 은천로 84 (봉천동, 라이프빌딩)",02-883-0603
서울중계초점,서울,서울 노원구 덕릉로 663 (중계동),02-933-1003
서울중랑우체국점,서울,"서울 중랑구 망우로 275 (상봉동, 로젠하임)",02-433-1116
서울풍납점,서울특별시,"서울특별시 송파구 토성로 59 , 1층 (풍납동 , 선일빌딩)",02-429-3210
시흥서울대학로점,경기,"경기 시흥시 서울대학로 77 (배곧동, 골드테크노밸리)",031-8040-7450
안산서울예대점,경기,"경기 안산시 단원구 예술대학로 155 (고잔동), 1층 일부",031-414-6646
이대서울병원점,서울특별시,"서울특별시 강서구 강서로 349 , 1층 (내발산동)",02-6407-1711
천안남서울대점,충청남도,"충청남도 천안시 서북구 성환읍 성진로 80-6 , 1층",041-588-3800
난곡신사시장점,서울,서울 관악구 조원로 136 (신림동),02-838-8111
선유도역점,서울,"서울 영등포구 양평로 127 (양평동5가, 성산빌딩)",02-2677-0523
419사거리점,서울특별시,"서울특별시 강북구 삼양로 510, 1층 (수유동)",02-900-1288
IBK파이낸스점,서울,"서울 중구 을지로 82 (을지로2가, IBK파이낸스타워)",02-755-1007
KBS별관점,서울,"서울 영등포구 여의대방로 383 (여의도동, 경도빌딩)",02-780-1014
LG광화문빌딩점,서울,"서울 종로구 새문안로 58 (신문로2가, LG광화문빌딩)",02-720-2018
가락몰점,서울특별시,"서울특별시 송파구 양재대로 932, 업무동 1층 로비(가락동 , 가락동 농수산물도매시장)",070-4924-0520
가락시장역점,서울특별시,"서울특별시 송파구 중대로9길 21 , 1층 (가락동, 센터빌딩)",02-6486-0077
가락중앙점,서울특별시,"서울특별시 송파구 동남로 209, 1층 (가락동)",02-406-6782
가로수길점,서울,서울 강남구 가로수길 19 (신사동),02-540-1041
가산skv1센터점,서울특별시,"서울특별시 금천구 가산디지털1로 171, 117호(가산동 ,가산 에스케이 브에원 센터)",02-6244-8028
가산그레이트밸리점,서울,"서울 금천구 디지털로9길 32 (가산동, 갑을그레이트밸리)",02-855-6801
가산리더스타워점,서울특별시,"서울특별시 금천구 벚꽃로 286, 지하 1층 B103호(가산동 , 삼성리더스타워)",02-855-9555
가산어반워크점,서울,"서울 금천구 가산디지털2로 135 (가산동, 가산 어반워크I)",02-6177-7575
가산에이스K1타워점,서울특별시,"서울특별시 금천구 가산디지털2로 166, 1층(가산동)",02-6464-1877
가산한라원앤원점,서울,"서울 금천구 가산디지털2로 101 (가산동), 1층 111호",02-2101-2090
가산한화비즈점,서울특별시,"서울특별시 금천구 가산디지털2로 43-14, 102호(가산동 , 가산한화비즈메트로2차)",02-3477-0753
가양두산위브점,서울,"서울 강서구 공항대로45길 15 (등촌동, 가양역 두산위브)",02-2659-0779
가양역점,서울특별시,"서울특별시 강서구 양천로 492 , (등촌동, 길훈엔트런스빌)1층 105호",02-3665-6635
가양중앙점,서울특별시,"서울특별시 강서구 양천로 461, 1층(가양동)",02-2668-7528
가양초점,서울특별시,"서울특별시 강서구 허준로 198, 1층(가양동)",02-3663-7448
가오리역점,서울특별시,"서울특별시 강북구 삼양로 423, 1층(수유동)",02-905-0000
가재울뉴타운점,서울특별시,"서울특별시 서대문구 가재울미래로 2 , 별동상가동 제1층 106-1호 (남가좌동 , DMC파크뷰자이)",02-303-3112
가재울북가좌초교점,서울특별시,"서울특별시 서대문구 거북골로 184, 1층(북가좌동)",02-303-9002
가좌역점,서울특별시,"서울특별시 서대문구 수색로 34, 1층 (남가좌동)",02-303-8002
강남CGV점,서울특별시,서울특별시 강남구 강남대로 438 스타플렉스,02-555-0656
강남구청역점,서울특별시,"서울특별시 강남구 학동로 342, 1층 106호(논현동 , 에스케이허브블루)",02-515-0656
강남구청점,서울,"서울 강남구 학동로68길 7 (삼성동, 삼성동힐스테이트), 상가동 지상 1층 102호",02-512-0656
강남로데오점,서울특별시,"서울특별시 강남구 강남대로78길 12 , (역삼동, 예미프레스티지)",02-557-1341
강남면허시험장점,서울,"서울 강남구 테헤란로114길 16 (대치동, 동남빌딩)",02-552-5679
강남못골도서관점,서울,"서울 강남구 자곡로 114 (자곡동, 서강플라자)",02-445-1007
강남세곡점,서울특별시,"서울특별시 강남구 헌릉로569길 13, 지상1층 110호(세곡동 , 라온프라이빗시티)",02-2226-1116
강남솔라티움시티점,서울,"서울 서초구 강남대로53길 12 (서초동, 솔라티움시티 강남)",02-588-8120
강남애비뉴점,서울,"서울 서초구 서초대로77길 59 (서초동, 강남역 2차 I'PARK)",02-535-1008
강남역삼점,서울,"서울 강남구 역삼로 156 (역삼동, 태광빌딩)",02-566-1003
강남역점,서울특별시,"서울특별시 강남구 테헤란로 101 , (역삼동, 이즈타워)지하상가 E-35",02-567-5424
강남자곡점,서울,"서울 강남구 자곡로 202 (자곡동, 강남힐스테이트에코), 지상1층 101호",02-3411-1003
강남중앙점,서울특별시,"서울특별시 서초구 서초대로77길 35, 1층 102호(서초동)",02-533-0656
강남포이점,서울특별시,"서울특별시 강남구 개포로 221, 1층(개포동)",02-572-0777
강동U1센터점,서울,"서울 강동구 고덕비즈밸리로 26 (고덕동, 강동U1센터)",02-6072-0789
강동구청점,서울특별시,"서울특별시 강동구 성내로 11, 105호(성내동)",02-477-0365
강동보훈사거리점,서울,"서울 강동구 진황도로 190 (둔촌동), 1층 105호",02-477-5298
강동성내점,서울,"서울 강동구 천호대로 1078 (성내동, 씨제이나인파크), 1층 105호",02-980-1007
강동역점,서울특별시,"서울특별시 강동구 천호대로 1107, 1층 101-1호(길동 , 강동역에스케이허브)",02-477-1803
