행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,"51,847,509","25,862,863","25,984,646"
서울특별시,소계,"9,733,509","4,745,088","4,988,421"
서울특별시,　　　종로구,"151,215","73,688","77,527"
서울특별시,　　　중구,"126,201","61,946","64,255"
서울특별시,　　　용산구,"229,385","110,701","118,684"
서울특별시,　　　성동구,"300,410","147,020","153,390"
서울특별시,　　　광진구,"351,263","170,164","181,099"
서울특별시,　　　동대문구,"346,080","171,964","174,116"
서울특별시,　　　중랑구,"396,755","196,803","199,952"
서울특별시,　　　성북구,"442,471","214,247","228,224"
서울특별시,　　　강북구,"313,705","153,058","160,647"
서울특별시,　　　도봉구,"332,753","162,701","170,052"
서울특별시,　　　노원구,"532,662","257,746","274,916"
서울특별시,　　　은평구,"479,457","231,171","248,286"
서울특별시,　　　서대문구,"310,353","149,114","161,239"
서울특별시,　　　마포구,"373,951","176,782","197,169"
서울특별시,　　　양천구,"457,887","224,995","232,892"
서울특별시,　　　강서구,"591,599","286,309","305,290"
서울특별시,　　　구로구,"406,751","201,065","205,686"
서울특별시,　　　금천구,"233,066","118,299","114,767"
서울특별시,　　　영등포구,"367,916","182,504","185,412"
서울특별시,　　　동작구,"395,636","191,772","203,864"
서울특별시,　　　관악구,"499,869","250,931","248,938"
서울특별시,　　　서초구,"431,050","206,112","224,938"
서울특별시,　　　강남구,"545,938","261,190","284,748"
서울특별시,　　　송파구,"676,341","327,261","349,080"
서울특별시,　　　강동구,"440,795","217,545","223,250"
부산광역시,소계,"3,411,819","1,674,202","1,737,617"
부산광역시,　　　중구,"41,830","20,508","21,322"
부산광역시,　　　서구,"107,973","52,487","55,486"
부산광역시,　　　동구,"88,292","43,376","44,916"
부산광역시,　　　영도구,"116,447","57,482","58,965"
부산광역시,　　　부산진구,"357,284","173,108","184,176"
부산광역시,　　　동래구,"271,562","132,401","139,161"
부산광역시,　　　남구,"273,707","134,125","139,582"
부산광역시,　　　북구,"290,908","144,089","146,819"
부산광역시,　　　해운대구,"406,312","196,037","210,275"
부산광역시,　　　사하구,"320,254","159,764","160,490"
부산광역시,　　　금정구,"238,556","116,818","121,738"
부산광역시,　　　강서구,"130,298","67,353","62,945"
부산광역시,　　　연제구,"209,980","101,486","108,494"
부산광역시,　　　수영구,"176,112","83,525","92,587"
부산광역시,　　　사상구,"217,594","110,022","107,572"
부산광역시,　　　기장군,"164,710","81,621","83,089"
대구광역시,소계,"2,436,488","1,204,387","1,232,101"
대구광역시,　　　중구,"77,282","37,289","39,993"
대구광역시,　　　동구,"344,932","170,284","174,648"
대구광역시,　　　서구,"174,803","87,761","87,042"
대구광역시,　　　남구,"148,057","71,342","76,715"
대구광역시,　　　북구,"437,189","217,926","219,263"
대구광역시,　　　수성구,"428,770","208,071","220,699"
대구광역시,　　　달서구,"568,663","281,202","287,461"
대구광역시,　　　달성군,"256,792","130,512","126,280"
인천광역시,소계,"2,956,119","1,481,749","1,474,370"
인천광역시,　　　중구,"136,013","70,468","65,545"
인천광역시,　　　동구,"64,337","32,485","31,852"
인천광역시,　　　미추홀구,"408,394","205,847","202,547"
인천광역시,　　　연수구,"367,321","182,794","184,527"
인천광역시,　　　남동구,"532,569","264,835","267,734"
인천광역시,　　　부평구,"510,362","252,799","257,563"
인천광역시,　　　계양구,"302,832","151,252","151,580"
인천광역시,　　　서구,"544,608","274,954","269,654"
인천광역시,　　　강화군,"69,197","34,682","34,515"
인천광역시,　　　옹진군,"20,486","11,633","8,853"
광주광역시,소계,"1,456,688","720,931","735,757"
광주광역시,　　　동구,"98,642","48,775","49,867"
광주광역시,　　　서구,"301,339","147,877","153,462"
광주광역시,　　　남구,"218,035","105,018","113,017"
광주광역시,　　　북구,"433,147","215,098","218,049"
광주광역시,　　　광산구,"405,525","204,163","201,362"
대전광역시,소계,"1,474,152","736,259","737,893"
대전광역시,　　　동구,"226,216","114,174","112,042"
대전광역시,　　　중구,"240,215","118,757","121,458"
대전광역시,　　　서구,"481,174","236,839","244,335"
대전광역시,　　　유성구,"349,824","176,617","173,207"
대전광역시,　　　대덕구,"176,723","89,872","86,851"
울산광역시,소계,"1,147,037","589,233","557,804"
울산광역시,　　　중구,"223,060","113,235","109,825"
울산광역시,　　　남구,"323,704","164,993","158,711"
울산광역시,　　　동구,"159,294","83,217","76,077"
울산광역시,　　　북구,"218,053","112,773","105,280"
울산광역시,　　　울주군,"222,926","115,015","107,911"
세종특별자치시,소계,"342,328","170,729","171,599"
