순위,책이름,저자,출판사,출판일,원가,할인가,리뷰평점
1,당신이 누군가를 죽였다,히가시노 게이고,북다,20240723,19800,17820,9.57
2,THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,20240527,22000,19800,9.3
3,불변의 법칙,모건 하우절,서삼독,20240228,25000,22500,9.49
4,에그박사 13,에그박사,미래엔아이세움,20240808,15800,14220,9.91
5,모순,양귀자,쓰다,20130401,13000,11700,9.79
6,허송세월,김훈,나남,20240620,18000,16200,9.64
7,명탐정 코난 105,Gosho AOYAMA,서울미디어코믹스(서울문화사),20240816,6000,5400,9.8
8,초역 부처의 말,코이케 류노스케,포레스트북스,20240530,17800,16020,9.51
9,흔한남매 이무기 2,이종혁,미래엔아이세움,20240710,15800,14220,9.73
10,"다시, 역사의 쓸모",최태성,프런트페이지,20240729,18000,16200,9.87
11,죽이고 싶은 아이 2,이꽃님,우리학교,20240701,14000,12600,9.85
12,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,20240328,23800,21420,9.58
13,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,20231106,19800,17820,9.6
14,만일 나에게 단 한 번의 아침이 남아 있다면,존 릴런드,북모먼트,20240626,19800,17820,9.78
15,마흔에 읽는 쇼펜하우어(200쇄 기념 확장판),강용수,유노북스,20230907,17000,15300,9.38
16,나는 도대체 왜 피곤할까,에이미 샤,북플레저,20240710,19800,17820,9.56
17,세이노의 가르침(100만 부 기념 리커버 에디션),세이노(SayNo),데이원,20230302,7200,6480,9.27
18,3분 철학 1: 서양 고대 철학편,김재훈 외,카시오페아,20210702,16000,14400,9.67
19,너에게 들려주는 단단한 말,김종원,퍼스트펭귄,20240710,18000,16200,9.98
20,홍학의 자리,정해연,엘릭시르,20210726,14000,12600,9.59
21,불안 세대,조너선 하이트,웅진지식하우스,20240731,24800,22320,9.94
22,호감의 시작,희렌최,북로망스,20240723,18500,16650,9.41
23,테러리스트 김구,정안기,미래사,20240815,30000,27000,5.48
24,왜 당신은 다른 사람을 위해 살고 있는가,고윤(페이서스 코리아),딥앤와이드,20240315,14000,12600,9.75
25,구의 증명,최진영,은행나무,20230426,12000,10800,9.46
26,Go Go 카카오프렌즈 33: 필리핀,김미영,아울북,20240814,16800,15120,10
27,매직 스플릿,박성현,경이로움,20240820,17000,15300,9.29
28,빨모쌤의 라이브 영어회화(특별 부록 한정판),신용하,웅진지식하우스,20240729,22000,19800,9.88
29,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,20231124,17500,15750,9.31
30,디즈니 픽사 인사이드 아웃 2 무비동화,에린 팰리갠트,애플비북스,20240615,12000,10800,9.88
31,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,20230724,12900,11610,9.66
32,그의 운명에 대한  아주 개인적인 생각,유시민,생각의길,20240619,16800,15120,9.72
33,빨간내복야코 맞춤법 절대 안 틀리는 책 2,빨간내복야코,위즈덤하우스,20240717,14000,12600,9.86
34,흔한남매 16,흔한남매,미래엔아이세움,20240425,14500,13050,9.83
35,리틀 라이프 1,한야 야나기하라,시공사,20160616,14800,13320,9.64
36,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,20240220,17500,15750,9.56
37,사피엔스 그래픽 히스토리 1: 인류의 탄생,유발 하라리 외,김영사,20201123,17800,16020,9.8
38,손끝과 연연 10,Suu Morishita,학산문화사,20240825,6000,5400,10
39,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,퍼스트펭귄,20240310,17800,16020,9.35
40,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,20240105,19800,17820,9.52
41,최애의 아이 13,아카사카 아카 외,대원씨아이,20240731,6000,5400,9.62
42,슈뻘맨의 숨은 과학 찾기 4,슈뻘맨,미래엔아이세움,20240619,15000,13500,10
43,인간 실격,다자이 오사무,민음사,20120410,9000,8100,9.46
44,내 몸 혁명,박용우,루미너스,20240110,19500,17550,9.54
45,석가모니 인생수업: 석가모니가 세상에 남긴 삶의 지혜,석가모니,하이스트,20240524,17500,15750,9.33
46,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,20210420,14000,12600,9.78
47,기분이 태도가 되지 말자,김수현(훈글),하이스트,20221125,16000,14400,9.47
48,우리에게 남은 시간 46일,이설,하이스트,20240129,16800,15120,10
49,3분만 바라보면 눈이 젊어진다,히라마쓰 루이,쌤앤파커스,20240724,13800,12420,9.56
50,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,20200615,17800,16020,9.63
51,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),김상현,필름(Feelm),20220420,17000,15300,9.69
52,시한부,백은별,바른북스,20240123,16800,15120,9.7
53,저속노화 식사법,정희원,테이스트북스,20240726,19000,17100,9.69
54,처음 읽는 그리스 로마 신화 12: 트로이 전쟁,최설희,미래엔아이세움,20240718,15500,13950,10
55,3분 철학 2: 서양 중세·근대 철학편,김재훈 외,카시오페아,20211027,16800,15120,9.8
56,예약판매찌그러져도 동그라미입니다,김창완,웅진지식하우스,20240328,17800,16020,9.7
57,침묵을 배우는 시간,코르넬리아 토프,서교책방,20240724,18500,16650,9.47
58,데일 카네기 인간관계론(무삭제 최신 완역본),데일 카네기,더스토리,20240816,11000,9900,9.7
59,나의 돈키호테,김호연,나무옆의자,20240425,18000,16200,9.7
60,영어로 문장 만들기 훈련 1차 임계점,유은하,사람in,20240715,22000,19800,10
61,내 언어의 한계는 내 세계의 한계이다,김종원,마인드셋(Mindset),20240529,18800,16920,9.55
62,시간 고양이 5: 불타는 아마존의 반격,박미연,이지북,20240801,15000,13500,9.74
63,물고기는 존재하지 않는다,룰루 밀러,곰출판,20211217,17000,15300,9.42
